wind_speed_kts,wind_direction_deg,humidity_%,pressure_hPa,fog_density,visibility_km,hours_until_clear
3.4,15.0,53.0,993.1,0.94,2.1,10.9
21.9,295.0,79.6,1010.9,0.73,3.5,6.7
10.2,109.0,37.7,1013.7,0.19,9.4,1.1
25.6,200.0,88.3,1025.4,0.85,1.1,11.3
6.8,260.0,41.8,1004.4,0.72,3.5,7.1
31.7,335.0,63.2,1012.6,0.43,4.6,4.7
18.3,180.0,76.1,1007.5,0.32,7.9,2.4
4.5,45.0,80.3,994.8,0.98,1.4,9.8
16.6,150.0,56.7,1017.2,0.26,8.6,1.2
27.1,270.0,92.8,990.5,0.82,1.7,10.3
12.9,210.0,38.1,1000.9,0.62,3.9,6.0
33.2,120.0,69.0,1018.4,0.27,7.6,2.3
2.4,300.0,35.6,1003.5,0.47,5.5,3.4
22.8,60.0,67.4,1027.1,0.74,2.9,7.6
28.6,250.0,59.9,999.2,0.91,1.6,10.8
9.8,100.0,72.3,1019.0,0.8,1.2,10.6
35.1,330.0,44.0,998.7,0.64,3.0,7.8
14.3,10.0,87.1,1006.4,0.58,3.2,7.5
30.4,190.0,33.8,1003.2,0.29,7.2,2.5
5.6,270.0,49.9,1028.3,0.18,9.5,0.9
32.0,140.0,76.8,1004.9,0.52,3.3,7.7
19.1,325.0,68.3,1017.7,0.85,1.3,10.5
11.2,90.0,55.5,1016.0,0.13,9.1,0.6
6.9,240.0,43.2,996.8,0.79,1.9,9.2
37.4,75.0,72.4,1029.1,0.71,3.9,6.2
25.3,310.0,82.0,1001.6,0.69,2.4,8.6
13.0,120.0,31.2,1013.6,0.96,1.1,11.7
34.6,280.0,64.4,1008.1,0.26,8.3,1.5
23.7,350.0,59.6,1018.8,0.35,7.0,2.8
17.1,145.0,78.7,1011.3,0.93,0.8,11.9
20.3,200.0,66.9,1009.6,0.47,6.4,3.2
9.4,255.0,39.8,1017.5,0.16,9.8,0.4
36.8,295.0,90.2,1005.8,0.62,3.4,7.6
8.1,165.0,53.7,999.7,0.54,4.2,5.8
29.9,45.0,45.4,1026.4,0.38,6.5,2.9
18.0,335.0,87.4,997.3,0.82,1.6,10.7
7.3,210.0,33.8,1002.0,0.57,4.8,4.7
26.4,175.0,92.9,1023.8,0.31,6.6,3.8
12.5,20.0,68.4,1031.8,0.5,6.0,4.0
24.8,255.0,77.0,1007.4,0.88,2.1,9.6
6.1,305.0,48.2,1008.3,0.06,9.6,0.4
31.4,60.0,43.5,1019.5,0.7,2.7,8.9
15.6,185.0,73.1,1003.7,0.74,2.4,8.5
3.9,100.0,81.5,995.0,0.67,3.5,7.2
22.5,240.0,58.2,1014.9,0.25,8.0,1.6
39.0,300.0,69.8,1025.2,0.74,2.9,8.0
14.9,130.0,84.5,1004.2,0.91,1.4,10.3
10.4,340.0,47.9,990.6,0.39,5.8,3.5
28.2,85.0,65.2,1017.0,0.51,4.3,5.1
17.7,355.0,74.1,1001.9,0.63,3.7,6.4
4.4,260.0,57.4,1010.1,0.27,8.4,1.3
23.4,145.0,89.3,1013.2,0.87,1.2,10.9
32.8,225.0,54.8,1022.0,0.67,3.8,5.9
11.8,115.0,42.5,1006.6,0.45,5.0,4.3
9.0,320.0,35.1,999.4,0.33,6.7,2.9
37.2,275.0,63.9,1018.7,0.72,3.4,7.6
18.8,130.0,79.4,1020.5,0.59,3.6,6.2
28.5,355.0,52.2,1003.6,0.21,8.4,1.4
13.7,280.0,60.4,1015.9,0.83,1.1,11.2
21.4,195.0,76.3,997.8,0.47,6.0,4.2
7.4,350.0,49.5,1009.3,0.1,9.8,0.2
34.3,160.0,85.2,1028.7,0.91,1.4,10.4
5.9,65.0,26.4,990.1,0.54,4.1,5.7
16.1,300.0,72.7,1014.3,0.18,9.0,1.0
27.8,220.0,91.6,1006.1,0.76,2.4,9.3
11.4,40.0,58.1,1003.8,0.31,7.5,2.3
33.5,280.0,74.0,1019.3,0.53,3.4,7.0
19.3,235.0,84.6,1027.9,0.72,3.1,7.4
6.7,120.0,36.3,1001.7,0.42,5.0,4.6
40.13,212.35,40.72,1002.21,7.26,8.61,3.3
47.76,317.02,57.97,987.38,2.94,5.22,3.13
8.66,51.56,45.45,978.9,6.49,6.31,6.14
5.97,128.77,39.78,953.59,5.61,5.09,6.73
47.95,250.27,89.95,996.77,6.09,7.32,4.29
44.4,132.83,54.75,970.3,3.38,7.07,2.8
40.19,19.57,61.46,1049.04,8.93,8.03,4.16
34.12,38.54,96.33,1041.29,2.26,9.41,1.44
47.48,75.39,95.96,1041.16,8.46,5.07,6.04
19.98,348.02,22.92,968.87,4.47,9.35,2.66
12.92,207.05,38.75,1042.95,5.72,6.96,3.99
31.73,49.44,32.4,1018.27,2.08,5.66,2.13
28.69,258.89,81.77,1040.95,7.15,5.26,5.87
15.84,293.86,95.64,979.32,2.84,4.77,5.98
25.34,358.8,60.94,991.35,1.77,5.55,3.51
27.49,3.96,35.13,1030.64,1.05,5.71,1.67
47.45,341.71,78.92,1046.54,5.82,3.99,4.74
18.26,41.15,74.52,970.34,9.83,9.41,6.66
30.26,215.39,74.52,1008.23,7.43,2.85,7.5
49.68,187.11,25.69,951.31,5.28,0.6,6.31
24.88,55.4,31.62,1007.17,7.38,9.93,3.15
19.31,236.82,43.89,1016.62,3.95,5.84,3.91
22.58,147.7,55.54,1016.64,5.73,3.96,5.87
47.73,208.03,24.51,989.14,2.14,8.02,0.5
14.9,271.86,79.01,1036.4,9.7,4.09,8.43
22.6,110.85,80.49,1034.94,4.91,8.99,3.26
4.99,204.99,35.0,1046.88,9.46,0.37,9.39
30.06,102.36,71.51,956.31,1.23,3.2,5.02
42.34,51.13,22.26,978.32,3.13,3.13,3.8
16.24,349.79,80.18,1012.51,0.9,5.66,3.61
44.51,49.26,67.63,1044.91,3.31,9.32,0.71
43.56,67.8,99.18,991.29,6.98,8.14,4.87
48.66,114.36,67.11,1034.83,0.06,8.17,0.5
27.55,133.26,80.35,954.8,9.47,1.85,10.19
31.2,342.72,24.22,1002.67,1.77,8.47,0.65
31.33,266.76,57.52,990.09,1.49,6.91,2.32
37.28,320.22,40.91,1023.71,7.3,8.47,3.18
45.31,122.48,66.82,1003.01,1.4,2.53,3.79
41.2,164.13,85.15,1023.58,4.64,4.07,4.96
15.09,238.02,31.13,993.17,5.67,4.36,5.79
33.57,75.95,61.46,1013.97,8.04,1.95,7.67
44.0,28.93,27.93,1033.69,8.72,2.48,6.06
32.08,352.57,39.29,1032.21,2.39,6.97,1.55
39.11,209.93,23.48,1009.02,8.7,5.34,5.16
25.38,331.67,36.41,1040.32,4.4,7.32,2.5
27.68,356.07,25.28,988.09,1.61,5.6,2.45
36.78,91.04,44.32,1047.28,5.4,1.26,5.55
8.66,35.65,88.01,975.97,1.99,1.73,7.3
26.07,297.85,98.78,1016.88,5.35,2.87,7.13
19.26,344.91,33.21,1017.61,8.5,5.19,6.23
1.31,353.77,46.1,1016.07,0.23,2.03,4.92
19.84,284.65,75.52,960.39,3.1,4.2,6.0
48.85,314.12,54.97,982.84,5.8,7.34,3.45
39.0,53.8,53.12,976.5,3.42,4.52,4.22
38.58,341.11,53.6,1037.21,8.6,3.06,6.56
30.34,196.24,43.76,955.84,0.72,4.18,3.59
16.53,286.98,82.66,974.83,8.9,3.02,9.6
31.7,203.36,72.71,957.78,9.4,7.61,6.83
38.66,42.89,45.31,1049.37,7.55,4.3,5.0
30.45,207.53,74.67,1007.06,5.53,1.89,7.04
7.02,77.49,48.73,1038.25,5.15,9.21,3.2
12.9,331.35,51.49,1016.25,7.41,1.55,8.31
8.59,176.44,33.97,1022.65,7.24,2.32,7.5
11.21,4.46,52.82,961.73,6.08,0.28,9.29
14.47,119.18,39.88,960.54,6.85,2.4,8.15
16.01,1.59,22.09,1003.35,9.91,1.78,8.76
35.31,81.67,27.09,995.86,4.11,0.63,5.72
36.58,49.17,40.47,1038.94,5.21,3.84,4.22
45.96,355.34,96.02,995.13,4.1,0.7,6.88
34.64,207.83,40.58,1035.41,6.1,5.92,3.78
47.86,272.26,65.13,1007.99,3.5,3.33,4.19
48.91,166.55,57.95,1010.05,3.92,8.44,1.58
8.69,181.55,58.7,962.77,8.89,6.35,7.92
21.27,133.08,23.68,984.79,9.34,4.99,6.96
21.91,31.69,55.9,958.26,1.34,9.37,1.98
20.37,202.39,86.52,983.34,0.29,3.62,4.76
26.28,96.77,28.11,1011.23,3.06,7.62,1.92
5.38,53.34,53.48,965.74,6.62,5.42,7.24
18.74,87.41,49.9,1003.09,6.61,7.17,4.98
40.15,343.84,91.15,1038.84,2.89,3.75,4.19
37.62,93.84,53.52,979.65,3.63,5.5,3.86
28.79,341.04,50.33,1002.57,8.53,0.54,8.77
25.42,316.89,49.37,997.3,1.5,6.57,2.47
7.47,239.25,58.97,968.6,4.26,3.04,7.23
41.66,252.28,34.29,1049.15,1.92,6.13,0.85
7.57,293.64,37.88,969.88,1.68,2.54,5.64
17.59,195.0,30.2,1026.62,8.66,1.56,7.98
20.71,225.01,95.23,995.0,1.45,3.15,5.58
28.15,25.89,75.49,980.86,6.16,3.39,7.18
39.31,346.65,81.59,1031.35,1.88,1.23,4.88
17.81,289.65,76.52,960.77,0.59,6.12,3.91
38.57,74.19,57.73,1027.97,5.32,3.06,5.18
17.85,76.72,89.75,983.16,2.88,3.03,6.56
2.08,195.31,93.49,982.99,0.51,6.71,4.42
30.56,269.57,96.39,994.5,7.62,3.04,8.26
5.68,272.01,38.01,997.7,9.68,5.97,7.56
2.6,294.2,43.05,1021.94,9.73,4.66,8.11
41.66,177.77,90.31,1001.16,3.98,6.88,3.7
16.88,211.47,48.45,1017.37,8.94,3.13,7.98
4.23,194.69,27.85,1001.03,7.88,8.33,5.24
29.69,241.94,20.64,978.81,0.16,3.71,2.61
6.78,9.85,44.61,962.85,1.48,9.54,2.36
6.09,14.53,71.37,1030.12,3.25,5.39,4.91
5.62,57.37,75.73,1044.28,3.49,9.72,2.76
38.09,307.78,82.04,1020.82,4.18,0.55,6.61
18.23,14.58,43.47,951.2,1.68,0.92,6.37
38.73,62.03,43.78,989.59,3.2,9.65,1.11
27.27,270.4,37.46,1033.46,9.11,2.46,7.34
39.54,117.49,64.02,997.33,6.36,9.96,2.87
9.86,188.92,55.9,1009.85,0.29,9.87,0.95
46.66,255.84,48.98,1019.61,7.11,6.59,3.83
10.47,307.43,27.22,993.99,9.51,3.85,8.08
26.78,354.26,79.85,951.6,7.24,7.57,6.3
46.33,307.48,26.97,979.63,1.8,5.84,1.68
32.73,217.33,33.02,984.37,7.84,6.53,5.11
29.97,344.56,97.87,960.02,6.12,0.77,9.29
13.85,185.22,81.19,959.57,4.89,0.36,9.28
10.96,320.73,31.54,1040.32,0.38,0.25,4.63
36.57,308.57,62.04,981.53,5.67,1.99,6.87
16.32,315.98,75.51,997.09,6.3,0.7,8.92
16.77,0.5,35.89,1031.74,8.06,7.02,5.05
33.8,2.95,26.32,1016.04,5.69,2.13,5.48
6.0,275.41,59.75,962.38,3.61,3.77,6.74
13.14,152.05,74.08,976.05,0.91,6.11,3.99
39.02,293.83,22.61,1006.97,5.14,6.67,2.73
6.95,72.17,76.42,974.63,4.35,5.25,6.54
30.33,81.61,62.29,1023.48,5.17,3.83,5.32
15.85,189.13,91.01,996.76,4.35,6.08,5.67
46.8,287.21,94.87,971.6,2.48,0.83,6.33
4.11,38.59,49.26,982.17,5.76,7.07,5.67
35.63,197.3,86.67,955.09,0.27,0.66,5.94
34.09,134.6,28.28,1024.41,8.15,8.41,3.46
20.73,39.48,74.94,1015.56,7.19,7.81,5.27
29.61,69.07,22.74,1001.93,7.8,0.93,7.49
21.95,152.22,76.07,967.59,4.61,9.64,3.83
20.08,330.07,54.6,1024.22,0.08,8.92,0.53
20.55,134.65,73.16,996.71,8.73,3.01,8.72
3.89,16.47,63.63,1009.94,5.81,7.28,5.49
40.43,128.47,62.3,971.78,6.39,0.53,7.94
8.7,166.22,61.78,955.13,5.58,1.29,9.0
22.55,122.24,50.18,1039.54,1.32,1.2,4.52
26.32,115.09,25.97,979.37,8.46,7.24,5.29
7.2,6.23,52.71,999.81,2.29,5.61,4.3
40.16,174.96,83.34,1042.77,4.8,7.85,2.84
2.92,45.19,43.86,1020.78,8.22,4.72,7.35
41.78,18.18,69.32,955.58,5.75,5.76,5.38
49.49,231.12,84.47,977.1,0.52,7.83,1.37
43.21,336.34,33.05,995.03,5.92,1.51,5.95
32.75,284.5,31.3,962.36,2.6,8.38,1.88
39.7,321.27,46.65,952.18,9.84,7.61,6.09
31.61,218.05,34.76,1039.88,5.18,3.2,4.61
10.78,46.98,87.88,972.75,4.04,9.07,4.6
43.57,120.15,97.19,987.63,9.29,5.27,7.47
39.73,288.84,66.57,971.74,2.31,3.21,4.7
21.75,151.6,84.48,951.33,2.49,8.84,3.66
30.08,24.61,46.71,1012.06,3.86,7.1,2.84
42.73,89.12,38.33,981.48,4.98,8.81,2.21
11.06,59.56,83.96,974.31,7.2,2.93,9.11
47.4,165.81,64.54,1015.67,0.4,2.34,3.02
2.12,36.64,54.56,1000.27,2.57,7.35,3.86
2.4,310.75,94.34,994.01,3.42,4.53,6.79
9.2,202.02,87.15,1030.61,2.11,3.48,5.52
32.92,154.45,73.89,1030.34,0.65,5.57,2.24
23.57,279.81,86.31,959.57,2.31,8.76,3.43
8.49,213.98,66.63,987.54,1.99,7.32,3.78
15.68,164.58,97.84,991.79,0.51,8.2,2.95
22.21,81.39,80.58,1047.6,0.42,3.11,3.77
38.75,61.47,86.79,1019.02,3.44,8.5,2.39
39.88,11.37,81.12,1001.41,7.88,3.08,7.41
33.79,63.17,88.31,994.91,0.33,2.98,4.28
19.43,330.82,66.34,964.62,1.89,9.26,2.59
46.67,184.14,94.72,992.38,7.35,0.36,8.65
43.31,335.98,64.95,1030.81,7.52,2.51,6.45
20.55,303.43,82.94,1035.54,5.54,7.54,4.45
6.39,321.36,89.38,1015.51,8.67,0.56,10.71
27.09,92.58,80.71,969.49,7.65,2.08,8.96
28.35,294.99,86.15,1017.01,4.61,3.85,5.83
18.91,50.72,81.3,990.89,8.2,8.82,5.93
41.21,199.1,35.7,997.06,9.02,3.66,6.56
20.34,17.95,36.51,1049.76,7.52,8.99,3.33
21.14,309.94,50.18,1042.79,0.99,3.96,3.0
36.66,137.22,24.7,966.03,8.62,7.24,5.04
33.07,280.21,42.67,1012.6,4.88,1.67,5.81
38.77,14.06,39.02,980.95,1.1,4.75,2.53
11.21,233.52,78.37,1037.93,5.41,8.19,4.38
19.35,331.08,92.61,1049.58,2.51,7.29,3.13
5.86,19.29,58.19,958.17,1.47,6.55,4.32
10.38,29.65,81.99,1015.58,9.48,5.03,8.5
26.1,350.53,94.05,1011.13,4.96,2.07,7.3
40.18,158.67,99.16,989.62,4.73,6.89,4.57
47.66,281.01,35.39,998.83,0.15,4.23,1.48
8.61,17.46,35.33,1028.06,1.77,9.89,0.92
22.01,229.56,31.69,953.12,4.45,2.77,6.32
2.56,327.21,30.27,985.27,8.85,1.25,9.67
37.07,97.07,74.07,1034.98,1.93,8.15,1.3
11.04,254.6,27.15,1028.85,6.65,4.61,5.67
26.21,152.63,57.91,955.71,2.74,0.56,6.96
11.36,133.32,75.13,985.21,4.01,4.29,6.42
22.31,212.56,33.88,1020.4,7.61,6.31,5.04
3.1,308.84,23.71,1041.56,1.88,1.16,5.1
28.6,102.65,51.68,965.72,9.44,1.99,9.16
15.3,31.37,69.39,1037.41,5.51,3.56,6.32
7.24,321.3,58.66,966.1,4.04,2.28,7.55
39.86,302.93,96.38,998.86,5.5,6.45,4.96
41.29,189.62,47.65,959.32,4.34,8.48,2.73
44.66,93.49,56.85,970.96,3.6,6.95,3.0
22.52,42.47,35.54,983.05,8.29,1.5,8.44
22.47,72.34,24.52,1035.96,8.1,6.25,4.81
13.58,203.08,95.31,1000.42,3.09,6.12,5.18
24.11,341.63,32.76,990.12,1.51,1.36,4.85
15.6,325.24,98.9,990.68,2.36,6.49,4.78
7.58,327.47,55.36,958.72,6.52,9.19,5.36
35.53,331.93,52.92,1019.08,9.89,7.13,5.61
6.49,317.45,54.92,1001.12,6.47,6.48,6.03
2.47,92.21,49.32,1032.58,4.01,9.93,2.61
23.74,109.78,60.53,1022.99,0.82,0.5,5.1
44.82,2.52,76.99,1020.62,7.73,3.26,6.57
2.51,233.39,40.42,1012.02,4.17,0.57,7.48
8.3,138.53,63.41,984.94,1.11,9.74,2.1
28.09,255.64,86.94,1012.16,7.97,4.97,7.07
11.05,149.8,20.29,1003.63,8.38,3.25,7.46
42.52,35.92,35.43,974.37,0.09,2.8,2.83
21.33,178.32,89.5,1017.42,0.72,2.71,4.89
13.8,215.91,24.59,1019.73,7.07,6.42,4.92
25.77,87.93,25.76,1046.2,0.78,0.56,3.7
17.63,147.44,52.02,980.85,7.29,6.2,6.28
35.15,162.38,47.38,951.69,2.86,8.87,2.23
44.12,197.17,43.66,959.41,7.53,5.99,5.33
16.98,129.22,81.15,1039.73,4.72,7.81,3.97
13.46,257.61,24.68,990.04,1.82,4.49,3.77
35.19,309.17,37.19,963.16,5.0,1.83,6.37
21.61,138.2,54.02,982.53,4.26,7.95,3.72
4.54,143.15,80.0,1007.56,5.58,7.59,5.65
37.4,228.7,82.88,988.68,6.57,1.17,8.09
14.32,191.1,67.66,1046.17,1.34,5.42,3.17
27.4,344.18,78.78,992.35,0.79,2.1,5.07
1.82,96.02,83.35,1048.37,2.27,8.38,3.13
30.89,265.45,26.71,1038.05,2.03,2.16,3.42
7.97,271.56,96.94,975.77,4.02,6.06,6.41
42.98,294.12,45.13,1007.71,2.53,0.35,4.94
2.3,20.82,43.06,1007.23,7.22,6.04,6.43
36.98,332.91,63.98,990.52,6.82,1.33,7.65
13.52,42.99,90.63,970.23,9.63,6.97,8.41
16.88,143.47,54.37,955.14,7.96,2.37,9.06
4.43,338.96,51.65,1004.96,8.53,1.82,9.34
10.37,220.01,87.38,1019.67,7.52,7.79,6.21
4.81,310.87,90.44,970.4,5.28,2.38,8.96
36.16,155.21,46.77,963.99,1.02,5.71,2.61
30.38,270.61,68.31,1043.69,3.5,7.49,2.46
34.41,23.06,81.46,1044.45,3.25,1.18,5.61
22.42,297.1,92.06,955.8,7.78,4.92,8.35
8.1,136.5,94.14,979.54,5.39,9.06,5.46
25.17,335.25,37.32,957.12,6.82,5.83,5.89
26.02,214.74,31.77,950.19,1.58,6.71,2.76
7.13,261.26,77.71,1036.5,1.38,5.41,3.96
31.82,58.8,56.26,1032.72,5.47,1.89,6.06
37.01,68.07,34.12,1043.33,6.66,5.36,3.93
30.12,151.42,53.69,984.09,4.98,8.97,3.1
16.77,301.14,59.27,960.71,2.46,3.73,5.67
49.29,311.7,90.8,1012.5,3.13,4.16,4.08
30.95,114.99,50.86,1011.93,8.39,5.29,6.08
15.14,265.4,57.03,991.78,4.37,3.12,6.43
33.4,77.6,58.14,1013.27,8.55,5.58,6.04
15.62,344.44,88.9,994.16,4.25,1.88,7.72
14.26,338.7,64.88,1035.0,0.46,5.37,2.87
28.87,322.28,31.02,959.65,4.9,6.4,4.25
10.58,144.11,96.82,952.48,5.15,6.07,7.22
37.13,110.21,62.37,991.03,4.22,1.9,6.01
8.46,219.0,99.83,1015.4,2.33,8.04,3.96
6.58,198.31,42.49,1041.23,2.65,0.27,6.24
35.49,359.46,58.31,953.26,4.51,8.65,3.39
49.07,357.63,52.14,1020.29,6.28,4.03,4.64
22.98,109.98,80.3,956.68,9.46,9.4,6.61
8.53,104.52,74.71,1035.55,3.34,9.23,2.91
3.29,275.3,59.7,1027.23,3.74,6.32,4.58
17.18,195.11,40.41,1001.05,6.67,3.22,6.86
20.77,170.0,74.04,1025.24,0.26,2.26,4.39
30.05,53.44,81.43,1019.12,6.56,4.53,6.23
21.3,27.36,50.35,1021.26,9.22,8.5,5.2
41.1,74.37,61.77,956.76,7.72,1.93,8.1
31.43,230.69,32.87,1010.67,7.13,7.61,3.83
6.61,80.27,79.48,971.07,9.67,8.91,7.52
31.25,252.73,28.26,1023.64,9.31,0.67,8.07
29.57,150.27,34.52,1003.46,3.09,7.92,1.91
14.81,277.55,82.93,1020.82,3.15,9.53,2.79
35.93,268.36,28.53,1049.38,5.22,2.18,4.61
11.37,221.09,55.26,988.5,1.36,6.52,3.42
27.21,112.41,65.02,1001.11,7.51,2.08,7.96
30.26,220.59,60.74,968.24,4.13,1.25,6.97
18.28,243.31,56.24,990.96,2.01,3.92,4.69
4.66,210.74,69.62,961.73,8.46,1.74,10.51
44.61,124.77,54.48,999.28,5.64,3.77,5.08
11.35,328.11,64.16,1009.25,7.44,1.66,8.77
1.33,8.74,21.94,966.81,5.5,2.97,7.3
10.43,256.49,81.56,1047.39,6.53,1.19,8.4
12.91,164.65,45.71,1030.61,2.36,2.08,5.13
20.04,78.58,93.13,1041.57,8.43,8.32,5.69
5.49,56.88,20.64,989.71,9.78,3.44,8.58
49.51,181.15,20.38,953.1,3.61,0.55,5.35
43.17,357.07,75.29,1001.02,3.17,2.26,5.16
29.6,353.24,51.28,1016.83,5.52,9.17,2.7
22.02,79.85,49.29,959.4,4.32,7.32,4.31
7.32,208.63,68.52,1037.22,1.9,1.47,5.94
35.87,337.26,64.26,969.62,8.68,7.6,5.86
35.91,347.06,30.72,1030.74,3.19,7.83,1.14
22.42,68.0,46.28,971.76,9.48,2.81,8.84
3.51,159.02,91.36,1028.86,3.48,0.51,8.11
28.49,115.22,81.18,998.78,5.88,5.06,6.04
7.33,176.98,71.41,1024.7,5.71,7.8,4.96
43.06,251.06,51.23,992.71,4.44,6.42,3.26
31.07,239.76,25.15,1027.95,0.19,5.77,0.82
13.16,310.41,67.86,1032.0,4.46,4.35,5.56
3.76,21.9,80.49,974.98,7.66,9.39,6.38
34.69,334.45,39.55,992.96,8.13,1.72,7.57
2.09,263.48,68.57,1010.41,5.77,5.02,6.81
35.66,340.88,28.83,1026.38,7.41,5.76,4.32
0.82,235.59,51.8,969.03,5.09,7.41,5.61
15.05,36.76,20.36,1003.69,4.95,1.94,6.2
5.25,236.65,53.0,985.1,7.2,9.58,5.12
0.78,235.77,24.44,973.76,7.65,7.45,6.11
41.87,269.07,86.23,1011.72,9.67,6.41,6.49
25.38,324.56,64.01,968.22,7.06,0.5,9.15
19.83,209.36,94.29,975.49,7.16,2.58,9.06
38.76,258.03,64.78,1036.39,9.62,8.64,4.56
17.46,345.2,54.77,961.54,3.85,7.42,4.35
20.76,283.97,95.83,1022.7,8.26,4.53,7.85
22.28,31.76,28.53,1022.19,2.95,4.5,3.45
28.86,165.68,82.75,1000.11,5.63,6.98,4.95
43.18,346.45,89.92,972.61,8.98,4.86,7.61
9.49,289.53,32.33,1036.28,8.23,1.12,8.28
47.33,127.61,84.73,977.53,0.11,6.5,1.93
0.51,131.19,82.54,960.77,9.02,7.75,8.33
37.32,182.84,53.64,955.75,6.83,2.37,7.44
7.9,256.88,59.08,1003.02,2.3,6.05,4.16
6.36,122.19,65.12,977.74,1.29,7.61,3.52
18.17,304.14,59.17,983.2,4.58,8.36,3.97
44.22,262.41,48.97,987.21,7.7,8.2,3.98
2.04,352.23,21.37,1044.04,2.46,1.44,5.21
11.93,186.11,34.93,1035.35,2.21,7.69,1.95
18.29,140.61,55.3,962.75,4.15,6.03,5.15
24.45,3.81,82.57,1023.62,8.68,6.54,6.52
44.69,41.17,21.0,998.15,4.26,1.81,4.55
39.47,286.01,27.58,962.31,2.16,5.72,2.56
47.23,218.54,53.22,1009.21,2.48,1.07,4.52
37.19,39.92,49.79,992.69,1.22,5.32,2.46
48.16,30.26,92.5,952.52,4.47,4.94,5.46
6.45,335.09,29.12,976.2,6.71,3.57,7.37
9.28,56.66,86.45,986.18,5.11,7.88,5.54
20.68,126.53,27.43,997.73,0.31,1.68,4.01
14.0,231.08,40.3,1003.48,1.1,6.91,2.35
49.6,92.69,92.02,1041.65,5.1,0.63,6.36
39.24,50.38,22.01,1018.33,2.38,1.99,3.48
39.62,125.36,78.81,986.52,7.56,6.58,5.71
22.64,175.64,54.89,970.89,8.53,1.07,9.45
25.2,203.05,42.46,958.28,7.64,0.92,8.86
15.15,186.95,83.04,950.94,6.85,2.64,9.24
35.53,275.78,32.16,979.74,0.93,1.68,3.99
26.65,152.28,68.04,1017.43,4.9,4.42,5.32
19.53,32.82,61.5,963.03,0.46,4.14,4.34
18.58,28.78,51.51,962.83,0.35,2.74,4.78
17.16,268.1,38.13,1024.15,7.99,4.83,6.27
24.51,69.33,59.34,975.0,5.22,8.83,3.87
39.17,301.23,37.17,999.66,8.07,0.24,7.89
30.6,210.74,86.73,957.85,6.52,6.14,6.53
37.71,174.33,35.51,1026.26,4.58,3.47,4.12
28.64,116.41,86.39,951.11,6.51,8.76,5.42
9.45,53.88,53.56,981.14,3.13,4.98,5.26
25.49,300.34,31.27,1034.03,5.39,2.22,5.52
33.36,63.11,82.02,1015.99,6.39,8.19,4.22
17.0,248.6,40.94,984.9,4.28,3.97,5.58
13.57,343.54,53.19,968.37,2.98,0.39,7.48
